source,target
271.129512,239.139734
370.162397,358.162432
328.115476,358.162432
367.162726,358.162432
356.183216,358.162432
340.213431,342.229164
372.20335,342.229164
295.228397,297.244135
402.083703,354.098957
341.067264,354.098957
396.10953,354.098957
368.078201,354.098957
321.0599,351.07047
321.059821,351.07047
383.35377,353.343124
466.163034,466.199406
393.374222,411.384773
324.022134,322.006415
288.018765,322.006415
320.97478,322.006415
353.996224,322.006415
352.017043,322.006415
310.042977,324.022134
352.017043,324.022134
338.037831,324.022134
325.006164,324.022134
283.031886,324.022134
288.144863,246.097837
263.078779,245.068144
257.068148,245.068144
299.063098,311.063083
281.016076,311.063083
293.052477,311.063083
267.062449,301.067904
253.083195,301.067904
256.082849,301.067904
299.088727,301.067904
273.072998,301.067904
303.083636,301.067904
300.083874,301.067904
229.054217,242.085906
244.065086,242.085906
257.049215,242.085906
274.075675,242.085906
283.076067,242.085906
228.106745,242.085906
214.054562,242.085906
306.047815,242.085906
240.070191,242.085906
300.984895,334.990427
305.016196,334.990427
349.006151,334.990427
294.019214,292.003494
280.003469,292.003494
292.039938,292.003494
298.98679,219.029955
260.020157,219.029955
231.029941,219.029955
317.044977,358.035201
324.04747,358.035201
241.054244,241.090651
289.075396,241.090651
271.137658,241.090651
383.052554,349.091585
379.065773,349.091585
364.102278,365.086284
377.086281,365.086284
393.081167,365.086284
331.080762,365.086284
391.101995,365.086284
423.091745,365.086284
324.112537,308.117635
294.138433,308.117635
310.096867,308.117635
352.107448,308.117635
300.099161,242.093654
284.104276,242.093654
310.057303,358.042043
278.114772,244.109234
245.093247,244.109234
260.104136,244.109234
324.066044,244.109234
229.098336,244.109234
360.040072,392.012191
374.001594,392.012191
379.053241,394.064178
395.048183,394.064178
379.100924,394.064178
352.053556,394.064178
522.108502,477.123427
518.113592,477.123427
519.134017,477.123427
507.133988,477.123427
366.094934,347.100295
319.068993,347.100295
446.022672,402.032838
404.01207,402.032838
325.075471,295.101271
329.106798,295.101271
310.112164,295.101271
339.091116,295.101271
309.080484,295.101271
371.026985,369.011265
398.001369,369.011265
311.005788,369.011265
355.032061,369.011265
341.016387,369.011265
407.011722,433.027393
385.042733,433.027393
434.059028,433.027393
431.048241,433.027393
353.070603,433.027393
403.053197,433.027393
374.146021,422.130697
459.04298,429.032376
413.037482,429.032376
447.042926,429.032376
302.049693,332.09673
366.102194,332.09673
374.107365,332.09673
454.114458,496.125093
461.094218,460.110192
415.125046,460.110192
419.119943,460.110192
462.125904,460.110192
498.14529,482.150363
450.178222,482.150363
497.161252,482.150363
516.155842,482.150363
497.161252,498.14529
516.155842,498.14529
501.1774,545.167189
503.156607,545.167189
589.156949,545.167189
462.051125,417.065994
436.111323,478.158308
463.147445,478.158308
294.109865,374.066705
346.060647,374.066705
346.071827,374.066705
354.171801,434.128592
434.165032,434.128592
479.13925,509.186243
495.207086,509.186243
432.279599,402.268968
403.138733,437.099692
396.10953,437.099692
446.099965,437.099692
436.06805,437.099692
437.136061,437.099692
535.202402,521.186683
495.145554,523.140465
505.129871,523.140465
441.203914,396.218829
354.171801,396.218829
494.186052,465.195993
507.206557,465.195993
571.222762,543.191499
515.196605,543.191499
527.120647,497.146427
541.136272,497.146427
545.131092,497.146427
511.218981,524.250641
526.229876,524.250641
505.24516,514.245492
544.256097,514.245492
516.224656,514.245492
471.276143,455.281245
569.225065,595.240735
551.25138,609.256878
565.267116,609.256878
579.282723,609.256878
263.005891,276.985118
477.123358,493.11821
502.118473,493.11821
463.144047,493.11821
486.189055,441.203914
442.187931,441.203914
325.091055,307.08048
321.096168,307.08048
412.071257,394.105113
428.066069,394.105113
408.120764,394.105113
396.120814,394.105113
423.112149,435.11211
469.09977,435.11211
352.079265,326.063559
354.094879,326.063559
368.110595,326.063559
367.053776,326.063559
342.040726,326.063559
384.051192,372.051189
342.07701,372.051189
400.082485,372.051189
402.061768,372.051189
389.001435,391.01711
403.017091,391.01711
421.064043,409.064033
451.07459,409.064033
407.048304,409.064033
419.192517,433.20825
512.178351,498.199153
467.183193,482.146459
497.109728,482.146459
496.125706,482.146459
481.114833,482.146459
529.245427,557.24031
267.992483,283.003411
323.034729,283.003411
309.019131,283.003411
283.987378,283.003411
400.024967,358.01441
313.029276,358.01441
396.069104,422.084842
495.191035,481.175296
444.130701,508.092628
536.08751,508.092628
507.108606,508.092628
527.087191,508.092628
287.964356,288.000804
280.094188,246.088729
261.052022,246.088729
304.094192,246.088729
230.093793,246.088729
261.099594,246.088729
291.044734,306.055664
307.039695,306.055664
290.060757,306.055664
292.039938,306.055664
389.164281,407.174848
379.179956,407.174848
437.185434,407.174848
527.287543,469.282009
384.16688,432.151581
418.135861,432.151581
252.033867,286.021551
300.984895,286.021551
305.016196,286.021551
274.021519,286.021551
247.018611,279.008419
263.013496,279.008419
305.024119,279.008419
307.039695,279.008419
309.055393,279.008419
270.008078,279.008419
235.018621,279.008419
263.031214,279.008419
382.072233,416.077755
382.090083,416.077755
444.10903,416.077755
511.165591,513.144775
479.13925,513.144775
522.145066,513.144775
267.062449,280.094188
294.109865,280.094188
308.125516,280.094188
232.109469,280.094188
279.110178,280.094188
252.062863,280.094188
261.099594,280.094188
293.125863,280.094188
288.06313,274.047446
276.026694,274.047446
273.063467,274.047446
280.130473,278.114772
269.114493,278.114772
293.0781,278.114772
260.104136,278.114772
263.103922,278.114772
249.124714,278.114772
290.114882,320.161917
305.151016,320.161917
362.172535,320.161917
335.17279,320.161917
299.067864,327.099181
314.067459,327.099181
357.073362,327.099181
385.104698,327.099181
341.11493,327.099181
325.083483,327.099181
275.127574,327.099181
343.097461,357.113159
376.107778,357.113159
369.113131,357.113159
371.125538,405.113197
275.113911,245.139749
290.1248,245.139749
231.124008,245.139749
215.092747,245.139749
295.049691,325.060255
295.086029,325.060255
323.081069,325.060255
339.075961,325.060255
325.096674,325.060255
351.075923,325.060255
311.044601,325.060255
338.091954,325.060255
363.148794,395.138569
367.107309,395.138569
395.102168,395.138569
351.14872,395.138569
329.139767,393.101625
361.129483,393.101625
392.117599,393.101625
435.148619,393.101625
395.117336,393.101625
427.107114,393.101625
423.148583,393.101625
245.06607,244.082027
333.029031,321.029079
336.039939,321.029079
325.06816,338.099903
337.068342,338.099903
380.14694,338.099903
353.063219,338.099903
353.11082,338.099903
337.115872,338.099903
339.131532,338.099903
366.106043,338.099903
402.061768,338.099903
348.112487,378.123135
360.157032,378.123135
369.122809,378.123135
352.107448,378.123135
348.120633,376.115555
377.099575,376.115555
344.125727,376.115555
388.115587,376.115555
402.131207,376.115555
440.077438,376.115555
378.094754,376.115555
421.100631,376.115555
364.115524,376.115555
336.127431,381.112518
376.151538,348.156622
318.182469,348.156622
454.11133,420.150293
433.07034,381.098698
381.062322,381.098698
411.072881,381.098698
411.109293,381.098698
365.121507,381.098698
531.319002,501.271981
503.266117,551.250826
581.297797,551.250826
243.033465,245.01271
287.023346,245.01271
303.018223,245.01271
275.059722,245.01271
287.059673,245.01271
229.035474,245.01271
273.018811,245.01271
261.007619,245.01271
242.996999,245.01271
258.062006,288.072623
240.087889,288.072623
256.082849,288.072623
330.119671,288.072623
230.067074,288.072623
290.088298,288.072623
284.068363,328.05817
312.063242,328.05817
328.021793,328.05817
313.047244,328.05817
354.094879,412.100349
368.110595,412.100349
384.094209,412.100349
421.100631,412.100349
440.095204,412.100349
379.079088,407.07402
409.089765,407.07402
405.094862,407.07402
435.10536,407.07402
447.105352,407.07402
373.068491,407.07402
471.035907,407.07402
406.042436,407.07402
441.079531,407.07402
394.035914,366.041038
355.061057,384.051192
354.076965,384.051192
402.061768,384.051192
372.08412,404.056251
340.094307,404.056251
469.08217,482.113844
512.160858,482.113844
495.145554,482.113844
467.102977,482.113844
333.119684,291.072684
288.10925,307.103803
291.108931,307.103803
319.103823,307.103803
347.135092,307.103803
307.067361,307.103803
279.108867,307.103803
255.044755,223.072681
255.062447,223.072681
241.083258,223.072681
251.067588,223.072681
267.062449,223.072681
251.103941,223.072681
253.119646,223.072681
271.057361,223.072681
289.050199,225.088267
255.062447,225.088267
253.083195,225.088267
251.103941,225.088267
255.135252,225.088267
267.135265,225.088267
210.07735,225.088267
273.072998,225.088267
213.0883,225.088267
227.067442,225.088267
240.099185,225.088267
259.093917,257.078238
312.084132,310.104896
325.06816,310.104896
342.07701,310.104896
326.099754,310.104896
328.115476,310.104896
310.141269,310.104896
325.115772,310.104896
319.105237,310.104896
323.13655,310.104896
292.094259,310.104896
295.141627,310.104896
322.141065,280.130473
282.109721,280.130473
295.09378,280.130473
324.12031,280.130473
248.140689,280.130473
280.166902,280.130473
278.151243,280.130473
240.099185,280.130473
312.084132,342.131161
328.115476,342.131161
356.110353,342.131161
354.13113,342.131161
357.094426,342.131161
323.13655,342.131161
351.13148,342.131161
341.147146,342.131161
261.087503,287.103177
249.088174,291.135153
261.124528,291.135153
277.119434,291.135153
289.119417,291.135153
293.150942,322.141065
282.109721,322.141065
324.12031,322.141065
313.140808,322.141065
323.125031,322.141065
335.17279,322.141065
278.151243,322.141065
280.155802,262.145245
304.155826,262.145245
326.107188,262.145245
251.103941,293.150942
253.119646,293.150942
263.103922,293.150942
267.135265,293.150942
293.1145,293.150942
279.135206,293.150942
307.130105,293.150942
294.134899,293.150942
325.140749,293.150942
312.14559,293.150942
337.140783,293.150942
323.161528,293.150942
351.156438,293.150942
373.107745,293.150942
249.161169,293.150942
259.14545,293.150942
335.197958,293.150942
292.166952,293.150942
245.154357,274.144409
275.128365,274.144409
322.129112,274.144409
316.155056,274.144409
340.115409,370.162397
369.130776,370.162397
368.146705,370.162397
384.141647,370.162397
398.1573,370.162397
412.17303,370.162397
326.172576,370.162397
356.183216,370.162397
303.098828,331.130098
317.114425,331.130098
299.140294,331.130098
301.155903,331.130098
345.109592,354.109873
296.1044,354.109873
324.099254,354.109873
367.151333,380.183013
352.176958,380.183013
444.144877,380.183013
335.197958,380.183013
378.203814,380.183013
336.193228,380.183013
385.104698,371.125538
416.110641,371.125538
341.11493,371.125538
406.162684,374.172855
392.138957,374.172855
422.19406,422.157691
486.119553,422.157691
387.15684,432.141968
431.15793,432.141968
460.148051,432.141968
466.129656,432.141968
378.167556,404.183249
395.182911,404.183249
423.177822,404.183249
444.214581,404.183249
382.162737,422.19406
436.173271,422.19406
486.155977,422.19406
392.219812,422.19406
462.225377,422.19406
480.199521,422.19406
424.209719,422.19406
321.207753,362.197945
392.172162,362.197945
333.207832,362.197945
404.208542,362.197945
399.203299,380.208714
399.166667,412.198334
403.198012,412.198334
430.208927,412.198334
414.214005,412.198334
446.109977,398.125244
430.115012,398.125244
428.172271,398.125244
396.10953,398.125244
368.078201,398.125244
368.151017,398.125244
378.146328,408.156939
422.146568,452.193599
466.20927,452.193599
484.165698,452.193599
451.172905,493.183546
479.167848,493.183546
491.167805,493.183546
505.183575,493.183546
447.177761,461.193481
476.156802,461.193481
475.172712,461.193481
444.178192,470.193851
500.168006,470.193851
468.178192,470.193851
436.18839,470.193851
456.214603,470.193851
