node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
263.115003,12,16,3,4,0,0,263.115003,7,0.230769231,0.166666667,0.25,1.333333333,0.333333333,0,0,4,0.583333333
279.109972,12,16,4,4,0,0,279.109972,7,0.166666667,0.333333333,0.333333333,1.333333333,0.333333333,0,0,3,0.583333333
207.102843,12,16,3,0,0,0,207.102843,5,0.333333333,-0.833333333,0.25,1.333333333,0,0,0,2,0.416666667
349.07165,12,18,8,2,1,0,349.07165,5,-0.4,0.5,0.666666667,1.5,0.166666667,0.083333333,0,-3,0.416666667
297.120905,12,18,5,4,0,0,297.120905,6,-0.090909091,0.333333333,0.416666667,1.5,0.333333333,0,0,1,0.5
313.116004,12,18,6,4,0,0,313.116004,6,-0.2,0.5,0.5,1.5,0.333333333,0,0,0,0.5
252.135449,12,19,3,3,0,0,252.135449,5,0.066666667,-0.333333333,0.25,1.583333333,0.25,0,0,2,0.416666667
341.064892,12,19,9,0,0,1,341.064892,3,-0.2,-0.083333333,0.75,1.583333333,0,0,0.083333333,-6,0.25
303.102364,12,20,5,2,1,0,303.102364,4,-0.230769231,-0.166666667,0.416666667,1.666666667,0.166666667,0.083333333,0,-1,0.333333333
270.146174,12,21,4,3,0,0,270.146174,4,-0.142857143,-0.333333333,0.333333333,1.75,0.25,0,0,0,0.333333333
338.108315,12,21,10,1,0,0,338.108315,3,-0.5,0.166666667,0.833333333,1.75,0.083333333,0,0,-7,0.25
359.075515,12,21,10,0,0,1,359.075515,2,-0.428571429,-0.083333333,0.833333333,1.75,0,0,0.083333333,-8,0.166666667
375.070504,12,21,11,0,0,1,375.070504,2,-0.538461538,0.083333333,0.916666667,1.75,0,0,0.083333333,-9,0.166666667
343.08052,12,21,9,0,0,1,343.08052,2,-0.333333333,-0.25,0.75,1.75,0,0,0.083333333,-7,0.166666667
341.091512,12,22,9,0,1,0,341.091512,2,-0.538461538,-0.166666667,0.75,1.833333333,0,0.083333333,0,-7,0.166666667
369.117907,12,23,7,4,0,1,369.117907,3,-1,0.25,0.583333333,1.916666667,0.333333333,0,0.083333333,-4,0.25
273.148567,12,23,1,4,0,1,273.148567,3,-0.2,-0.75,0.083333333,1.916666667,0.333333333,0,0.083333333,2,0.25
292.122664,12,23,5,1,1,0,292.122664,2,-0.333333333,-0.666666667,0.416666667,1.916666667,0.083333333,0.083333333,0,-3,0.166666667
377.086356,12,23,11,0,0,1,377.086356,1,-0.692307692,-0.083333333,0.916666667,1.916666667,0,0,0.083333333,-10,0.083333333
345.096442,12,23,9,0,0,1,345.096442,1,-0.466666667,-0.416666667,0.75,1.916666667,0,0,0.083333333,-8,0.083333333
376.102328,12,24,10,1,0,1,376.102328,1,-0.833333333,-0.083333333,0.833333333,2,0.083333333,0,0.083333333,-9,0.083333333
360.107466,12,24,9,1,0,1,360.107466,1,-0.692307692,-0.25,0.75,2,0.083333333,0,0.083333333,-8,0.083333333
224.046216,12,7,2,3,0,0,224.046216,11,0.875,0.5,0.166666667,0.583333333,0.25,0,0,9,0.916666667
327.003252,12,9,7,2,0,1,327.003252,9,0.538461538,0.916666667,0.583333333,0.75,0.166666667,0,0.083333333,2,0.75
287.078866,13,12,4,4,0,0,287.078866,10,0.571428571,0.615384615,0.307692308,0.923076923,0.307692308,0,0,6,0.769230769
257.104459,13,14,2,4,0,0,257.104459,9,0.5,0.153846154,0.153846154,1.076923077,0.307692308,0,0,7,0.692307692
